bin,k,-t,x_b,q_squared,phi,bca_1,bca_1_stat_plus,bca_1_stat_minus,bca_1_sys_plus,bca_1_sys_minus
1,,-0.02, 0.07, 1.71,,0.018,0.020,0.020,0.004,0.004
2,,-0.04, 0.09, 2.22,,-0.007,0.020,0.020,0.004,0.004
3,,-0.08, 0.10, 2.44,,0.022,0.022,0.022,0.011,0.011
4,,-0.14, 0.11, 2.72,,0.067,0.018,0.018,0.012,0.012
5,,-0.26, 0.12, 3.13,,0.160,0.025,0.025,0.019,0.019
6,,-0.46, 0.12, 3.63,,0.235,0.043,0.043,0.051,0.051
7,,-0.10, 0.05, 1.34,,0.035,0.021,0.021,0.011,0.011
8,,-0.09, 0.07, 1.78,,0.043,0.019,0.019,0.012,0.012
9,,-0.11, 0.09, 2.30,,0.064,0.022,0.022,0.024,0.024
10,,-0.12, 0.11, 2.92,,0.018,0.024,0.024,0.002,0.002
11,,-0.16, 0.16, 4.04,,0.088,0.025,0.025,0.032,0.032
12,,-0.23, 0.24, 6.11,,0.041,0.045,0.045,0.014,0.014
13,,-0.08, 0.05, 1.20,,0.048,0.018,0.018,0.031,0.031
14,,-0.10, 0.07, 1.59,,0.063,0.021,0.021,0.015,0.015
15,,-0.11, 0.08, 2.08,,0.049,0.020,0.020,0.013,0.013
16,,-0.13, 0.10, 2.77,,0.050,0.023,0.023,0.008,0.008
17,,-0.15, 0.13, 3.76,,0.050,0.025,0.025,0.002,0.002
18,,-0.22, 0.20, 5.75,,0.053,0.030,0.030,0.054,0.054
