bin,k,-t,x_b,q_squared,phi,bca_0,bca_0_stat_plus,bca_0_stat_minus,bca_0_sys_plus,bca_0_sys_minus
1,,-0.02, 0.07, 1.71,,-0.027,0.014,0.014,0.009,0.009
2,,-0.04, 0.09, 2.22,,0.001,0.014,0.014,0.003,0.003
3,,-0.08, 0.10, 2.44,,0.003,0.015,0.015,0.011,0.011
4,,-0.14, 0.11, 2.72,,-0.018,0.013,0.013,0.013,0.013
5,,-0.26, 0.12, 3.13,,-0.034,0.018,0.018,0.006,0.006
6,,-0.46, 0.12, 3.63,,-0.056,0.029,0.029,0.009,0.009
7,,-0.10, 0.05, 1.34,,-0.043,0.014,0.014,0.014,0.014
8,,-0.09, 0.07, 1.78,,-0.014,0.013,0.013,0.007,0.007
9,,-0.11, 0.09, 2.30,,-0.048,0.016,0.016,0.014,0.014
10,,-0.12, 0.11, 2.92,,0.010,0.017,0.017,0.009,0.009
11,,-0.16, 0.16, 4.04,,-0.012,0.018,0.018,0.012,0.012
12,,-0.23, 0.24, 6.11,,0.040,0.032,0.032,0.029,0.029
13,,-0.08, 0.05, 1.20,,-0.041,0.013,0.013,0.021,0.021
14,,-0.10, 0.07, 1.59,,-0.033,0.015,0.015,0.020,0.020
15,,-0.11, 0.08, 2.08,,-0.012,0.015,0.015,0.014,0.014
16,,-0.13, 0.10, 2.77,,-0.025,0.016,0.016,0.006,0.006
17,,-0.15, 0.13, 3.76,,0.021,0.018,0.018,0.009,0.009
18,,-0.22, 0.20, 5.75,,-0.001,0.021,0.021,0.014,0.014
