bin,k,-t,x_b,q_squared,phi,a_sin_lu_i_1,a_sin_lu_i_1_stat_plus,a_sin_lu_i_1_stat_minus,a_sin_lu_i_1_sys_plus,a_sin_lu_i_1_sys_minus
1,,-0.02,0.07,1.71,,0.057,0.061,0.061,0.006,0.006
2,,-0.04,0.09,2.22,,-0.039,0.061,0.061,0.012,0.012
3,,-0.08,0.10,2.44,,-0.063,0.068,0.068,0.006,0.006
4,,-0.14,0.11,2.72,,-0.041,0.058,0.058,0.012,0.012
5,,-0.26,0.12,3.13,,-0.065,0.080,0.080,0.013,0.013
6,,-0.46,0.12,3.63,,-0.201,0.116,0.116,0.025,0.025
7,,-0.10,0.05,1.34,,-0.028,0.059,0.059,0.008,0.008
8,,-0.09,0.07,1.78,,0.011,0.057,0.057,0.003,0.003
9,,-0.11,0.09,2.30,,0.046,0.068,0.068,0.018,0.018
10,,-0.12,0.11,2.92,,-0.039,0.072,0.072,0.010,0.010
11,,-0.16,0.16,4.04,,-0.229,0.076,0.076,0.012,0.012
12,,-0.23,0.24,6.11,,-0.138,0.132,0.132,0.022,0.022
13,,-0.08,0.05,1.20,,-0.034,0.058,0.058,0.005,0.005
14,,-0.10,0.07,1.59,,0.042,0.066,0.066,0.004,0.004
15,,-0.11,0.08,2.08,,-0.047,0.062,0.062,0.009,0.009
16,,-0.13,0.10,2.77,,0.034,0.070,0.070,0.011,0.011
17,,-0.15,0.13,3.76,,-0.116,0.076,0.076,0.003,0.003
18,,-0.22,0.20,5.75,,-0.161,0.092,0.092,0.009,0.009
